BIC FSV LLR M g l max_delta max_ll max_mu_hat max_s2_t_hat model n s2_FSV s2_logdelta time PER_prob SE_prob linear_prob pval qval max_ll_null
41.4093911398 0.48387218162  4 'ndnf' 753.598796099 1.44249092158 -10.9543009235 -4.98694336605 17.0872551773 PER 131 0.00451724598237 0.0847501956241 0.00107598304749 0.720326039515 0.279673960485 1.65060996895e-31 1.03738728718e-09 8.61031448363e-08 -48.680651248
115.907968443 0.34885091975  4 'lyve' 1651.84139674 1.28276599208 -48.203589575 -4.25280403353 2.76317950563 PER 131 0.0159890694893 0.348738623118 0.00107312202454 0.777069375773 0.222930624227 2.91611477187e-17 5.29938802163e-06 0.000219924602898 -69.5538407825
66.0821174773 0.271201205169  4 'ctss' 1651.84139674 1.84681294158 -23.2906640922 -3.68787165908 1.50611508151 PER 131 0.0167657350872 0.458483904464 0.00108909606934 0.89789455942 0.102105439924 6.56064924341e-10 0.000425989908628 0.0106071487248 -36.7922888993
-55.6341773718 0.323835662658  4 'foxj1' 1651.84139674 1.434942391 37.5674833323 -3.64997469081 1.80660050884 PER 131 0.018935111656 0.438140432254 0.00108003616333 0.925553179219 0.0744468207815 4.46830071087e-16 1.44191732695e-05 0.000512910592015 17.4944716983
260.786986398 0.590427336873 23.8991697653 4 'sst' 71.5575967904 0.646103902722 -120.643098553 -1.99296590298 0.767030236912 SE 131 0.00129261974101 0.025516636367 0.00107598304749 1.70641372168e-10 0.999999999829 3.83053496347e-19 1.01515532491e-06 6.31934189758e-05 -144.542268318
-30.4877358279 0.395433560077 10.7426451704 4 'xdh' 71.5575967904 1.42399469123 24.9942625603 -4.06959671273 1.61784407565 SE 131 0.00354433856662 0.0712500414869 0.00110197067261 0.338999374786 0.661000584645 4.0569177051e-08 0.00104694577792 0.0236990453365 14.2516173899
89.6315774364 0.595927092857 21.4714792288 4 'mfge8' 71.5575967904 0.63154523303 -35.0653940718 -2.75678831308 0.912258084828 SE 131 0.00121619925463 0.0241702067638 0.00123000144958 2.26828968153e-11 0.999999999977 2.94474366952e-17 3.59130558347e-06 0.000178847018057 -56.5368733006
95.4364042841 0.366441281094 12.8566172534 4 'gad1' 71.5575967904 1.61035022655 -37.9678074957 -3.1176962087 0.964915499054 SE 131 0.00177939164275 0.0374790004758 0.00108289718628 0.00180542204762 0.998194575244 2.70799637709e-09 0.00033628794664 0.00930396652371 -50.8244247491
-20.6433645255 0.444886334977 14.8769843221 4 'camk2' 71.5575967904 1.1621728128 20.0720769091 -3.9612084117 1.58991192118 SE 131 0.00228089718736 0.0435534867649 0.00108885765076 2.76284954612e-06 0.999997237135 1.57380816935e-11 0.000114754591165 0.00357173665002 5.19509258706
73.4117469859 0.626921786206 64.5350062731 4 'mog' 156.849773702 0.437566369801 -26.9554788466 -3.5279177682 0.622371762603 SE 131 0.00124107686644 0.0258328737366 0.00124096870422 3.99020166413e-07 0.99999960098 1.16022706048e-54 9.99200722163e-16 2.48800979818e-13 -91.4904851196
16.4586887478 0.589829329194 59.675801663 4 'myl14' 156.849773702 0.511323376806 1.52105027251 -3.60779618034 0.572882045852 SE 131 0.00138739087536 0.0273681169279 0.00137186050415 0.0105422431219 0.989457756878 1.90805952154e-50 1.12132525487e-14 1.39604994231e-12 -58.1547513905
