FSV M g l max_delta max_ll max_mu_hat max_s2_t_hat model n s2_FSV s2_logdelta time BIC max_ll_null LLR pval qval
2.06112085873e-09 4 'Tfdp2' 1.41421356237 485165195.41 -89.7404246267 -3.91752607941 3.21075046225e-08 SE 131 58.1511334839 9.91121331877e+18 0.00138711929321 198.981638546 -89.7423427913 0.0019181645432 0.965066333706 0.965066339764
2.06112085873e-09 4 'Mafk' 1.41421356237 485165195.41 -101.965538276 -5.56362784381 6.43732740891e-08 SE 131 153.802951245 2.62140007858e+19 0.00103688240051 223.431865846 -101.967456441 0.00191816465569 0.965066332682 0.965066339764
2.06112085873e-09 4 'Tbx15' 1.41421356237 485165195.41 -81.1733133659 -3.97807284784 3.30346140378e-08 SE 131 87.4789473594 1.49098126939e+19 0.00103211402893 181.847416025 -81.1752315305 0.00191816459727 0.965066333214 0.965066339764
2.06112085873e-09 4 'Arid3a' 1.41421356237 485165195.41 -78.612122001 -5.32227029668 5.87861404478e-08 SE 131 194.430449185 3.31385055129e+19 0.000962018966675 176.725033295 -78.6140401657 0.00191816467552 0.965066332502 0.965066339764
2.06112085873e-09 4 'Hnf1a' 1.41421356237 485165195.41 -97.0231974233 -3.98664422591 3.32894144948e-08 SE 131 21296.3549385 3.62972661172e+21 0.000783920288086 213.547184139 -97.0251155881 0.00191816481983 0.965066331188 0.965066339764
2.06112085873e-09 4 'Elf1' 1.41421356237 485165195.41 -107.041418815 -3.66703892801 2.83352338088e-08 SE 131 6.30383639279 1.07441873395e+18 0.000784873962402 233.583626923 -107.043336979 0.00191816394663 0.965066339135 0.965066339764
2.06112085873e-09 4 'Elf2' 1.41421356237 485165195.41 -82.0919046557 -4.56685264793 4.34103272798e-08 SE 131 257.403731191 4.38716003634e+19 0.000777959823608 183.684598604 -82.0938228204 0.00191816469682 0.965066332308 0.965066339764
2.06112085873e-09 4 'Elf4' 1.41421356237 485165195.41 -90.4033714377 -3.80395018875 3.03047590452e-08 SE 131 10100.4161149 1.72150348112e+21 0.000795841217041 200.307532168 -90.4052896025 0.00191816481299 0.965066331251 0.965066339764
2.06112085873e-09 4 'Wt1' 1.41421356237 485165195.41 -84.4514517199 -5.49342191331 6.26389572362e-08 SE 131 40.5955519374 6.91905988653e+18 0.000777959823608 188.403692733 -84.4533698844 0.00191816448545 0.965066334231 0.965066339764
2.06112085873e-09 4 'Rfx2' 1.41421356237 485165195.41 -69.0940665069 -5.67015582062 6.66140095811e-08 SE 131 22.5777042662 3.84811833965e+18 0.000775814056396 157.688922307 -69.0959846713 0.00191816436644 0.965066335314 0.965066339764
2.06112085873e-09 4 'Ahr' 1.41421356237 485165195.41 -79.0295248794 -4.77812981523 4.74605267027e-08 SE 131 31.7371510594 5.40924407547e+18 0.000779867172241 177.559839052 -79.0314430438 0.00191816443933 0.965066334651 0.965066339764
0.499029666642 4 'Trps1' 1.41421356237 1.00387292489 -89.7787146987 -4.84801597453 11.8326534597 SE 131 4691.1786498 87869.9440618 0.00078010559082 199.05821869 -89.7806968001 0.00198210134428 0.964489274993 0.965066339764
2.06112085873e-09 4 'Nfkbiz' 1.41421356237 485165195.41 -109.138780458 -2.76607649182 1.64089237421e-08 SE 131 1180.93939092 2.01277972048e+20 0.000797986984253 237.778350208 -109.140698623 0.00191816477019 0.96506633164 0.965066339764
2.06112085873e-09 4 'Pax6' 1.41421356237 485165195.41 -81.6129836001 -4.49480460382 4.20615734916e-08 SE 131 1616.06657839 2.75440556979e+20 0.000777006149292 182.726756493 -81.6149017649 0.00191816477968 0.965066331554 0.965066339764
2.06112085873e-09 4 'Pax9' 1.41421356237 485165195.41 -76.2512237189 -5.01609085561 5.22475905108e-08 SE 131 5.42211594099 9.24139298938e+17 0.00159811973572 172.003236731 -76.2531418828 0.00191816387746 0.965066339764 0.965066339764
2.06112085873e-09 4 'Runx3' 1.41421356237 485165195.41 -100.359797151 -4.32198569961 3.90599993724e-08 SE 131 6926.77462569 1.18059162072e+21 0.000777006149292 220.220383595 -100.361715316 0.00191816480864 0.96506633129 0.965066339764
2.06112085873e-09 4 'E2f2' 1.41421356237 485165195.41 -94.5827281013 -4.32582465645 3.90812724188e-08 SE 131 229.636197373 3.91389333538e+19 0.000776052474976 208.666245495 -94.584646266 0.00191816468778 0.96506633239 0.965066339764
2.06112085873e-09 4 'Tsc2' 1.41421356237 485165195.41 -76.5081399054 -4.94562869958 5.080233604e-08 SE 131 61.1782121973 1.04271451857e+19 0.000792026519775 172.517069104 -76.5100580699 0.00191816454993 0.965066333644 0.965066339764
2.06112085873e-09 4 'Zfp354a' 1.41421356237 485165195.41 -76.6237485996 -4.29774048451 3.84594528501e-08 SE 131 3143.71954203 5.35811997613e+20 0.000779151916504 172.748286492 -76.6256667644 0.00191816479513 0.965066331413 0.965066339764
0.99995460141 4 'Elk4' 1.41421356237 4.53999297625e-05 -81.1448060698 -4.95827562458 24.7407565682 SE 131 513904.881156 1.80574251047e+14 0.000797986984253 181.790401432 -81.1511414588 0.00633538896925 0.936559247394 0.965066339764
2.06112085873e-09 4 'alldh1l1' 1.41421356237 485165195.41 -0.205787654001 -4.84453167415 4.84952782852e-08 SE 131 455.774376277 7.76816684023e+19 0.00122380256653 19.9123646008 -0.207705818732 0.00191816473061 0.965066332 0.965066339764
0.500617347191 4 'Tal1' 3.09986761956 0.997456284105 -90.5719408364 -4.26739902803 9.19926726396 SE 131 16.2779652791 304.899677013 0.000828981399536 200.644670966 -90.6819427709 0.110001934489 0.740141933427 0.87945383984
