,BIC,FSV,LLR,M,g,l,max_delta,max_ll,max_mu_hat,max_s2_t_hat,model,n,s2_FSV,s2_logdelta,time,PER_prob,SE_prob,linear_prob,pval,qval,max_ll_null
0,523.543369374,0.0714831473291,,4,Slc17a7,5.38679599244,13.2607979682,-250.650321425,-2.95740248138,0.671914524197,PER,260,0.000174250682951,0.032917536998,0.00138998031616,0.895186495719,0.10481350428,1.1584562692e-12,8.71963995989e-05,0.0261252946579,-267.118230923
1,267.156986597,0.105208875517,,4,Pcp4,9.05213776043,8.89611213061,-122.457130037,-11.8381174202,14.7299724784,PER,260,0.000460445919438,0.0457053709734,0.00203990936279,0.99991361212,8.6387879762e-05,2.43495036407e-17,3.31168285408e-05,0.0126183608235,-144.365401634
2,333.861915011,0.105402417943,,4,Rbfox3,9.05213776043,8.87785619109,-155.809594244,-9.00776092281,8.55680165643,PER,260,0.000479616244428,0.0474684177241,0.00198006629944,0.999999954731,4.52686489114e-08,1.22383748542e-18,0.000110500547832,0.0304081137183,-179.213169056
3,346.31391746,0.085855810915,,4,Igf1,9.05213776043,11.1371986977,-162.035595468,0.333271460576,0.0262375411046,PER,260,0.000431270611179,0.059705418602,0.00153779983521,0.992666180182,0.00733381981767,4.47207330089e-13,0.000137101995194,0.0333989450587,-179.031096779
4,347.902812723,0.100575014949,,4,Aqp4,9.05213776043,9.35418169489,-162.8300431,-1.41803802067,0.221013878132,PER,260,0.000567979417568,0.0606182611639,0.00153493881226,0.656425087301,0.343574912698,1.48554370938e-12,6.80341881242e-05,0.0211707455502,-179.018494584
5,433.275530131,0.131343499806,,4,Nrgn,9.05213776043,6.91783897724,-205.516401803,-10.1432916359,13.8860857918,PER,260,0.00065710663942,0.0461711827149,0.00145697593689,0.99999969452,3.05480228577e-07,1.01034211083e-21,1.03126643309e-05,0.00528435144682,-232.469705314
6,378.800140966,0.0831735123066,,4,Gng13,9.05213776043,11.5300998909,-178.278707221,3.97089791144,1.30059591333,PER,260,0.000429690394932,0.0627341667178,0.00155901908875,0.736409205562,0.263590794435,3.35669022575e-12,9.05270908945e-05,0.0263771092293,-194.11706011
7,354.133475679,0.158838364898,,4,Kcnh3,9.05213776043,5.53930155384,-165.945374577,-8.00982919836,10.7929507021,PER,260,0.000681541027399,0.0362493573387,0.00153589248657,0.999999999919,8.0655568644e-11,1.69777082808e-28,1.51219321043e-06,0.00102141777759,-200.698212512
8,243.867830865,0.0937188101291,,4,Camk2b,9.05213776043,10.1150296377,-110.812552171,-10.3482585082,9.91878463106,PER,260,0.000391561243173,0.0468859670476,0.00156092643738,0.999997838554,2.16144634403e-06,2.27299354345e-16,0.000158447216784,0.0373734228795,-131.603987672
9,368.035694543,0.129949919811,,4,Baiap2,9.05213776043,7.0032429872,-172.896484009,-9.86132950316,12.9604681845,PER,260,0.000628639759729,0.0448895464711,0.0014820098877,0.999999947809,5.21911716802e-08,8.30693042233e-19,9.6032789569e-05,0.0274432164038,-196.493801975
10,400.738462995,0.115768999962,,4,Gpsm1,9.05213776043,7.98922062303,-189.247868236,-13.0400983403,19.8821190888,PER,260,0.000514857012597,0.0439258440133,0.00145983695984,0.999999973541,2.64586002848e-08,1.1664769764e-19,6.83846424233e-05,0.0211707455502,-213.826737259
11,153.862013831,0.0914300264761,,4,Sepp1,9.05213776043,10.3944255777,-65.8096436537,1.18726470511,0.135551030588,PER,260,0.000390958985237,0.0487581251102,0.00154304504395,0.997434770862,0.00256522913832,6.0851842971e-16,3.16476779424e-05,0.0123759077427,-86.107416326
12,349.039933783,0.101550850174,,4,Tubb2b,9.05213776043,9.25424297523,-163.39860363,-8.24420568155,6.88422175968,PER,260,0.000441933653005,0.0464357538316,0.00156283378601,0.999249404887,0.000750595112759,5.86128691815e-17,2.36300306096e-05,0.00975395152384,-184.867321583
13,361.142516227,0.105836740957,,4,Ncdn,9.05213776043,8.8371315965,-169.449894851,-13.1073059449,18.1799206854,PER,260,0.000488194635733,0.0480006397444,0.00161600112915,0.999999983301,1.66992061883e-08,6.15923333164e-18,0.00022122387595,0.0483439234796,-192.045489236
14,40.0331206093,0.165741347867,,4,Glul,9.05213776043,5.26502954506,-8.89519704263,0.97352474001,0.177759044648,PER,260,0.000656896390488,0.0329112579682,0.00170397758484,0.99999994147,5.8530094787e-08,1.41478208323e-30,7.94377078561e-08,9.08034106725e-05,-46.0417903586
15,76.9756238227,0.155513484545,,4,Sparcl1,9.05213776043,5.68009535066,-27.3664486493,-0.636370098767,0.0776442469143,PER,260,0.000559001556199,0.0306400384435,0.00171995162964,0.999999487137,5.12862793972e-07,1.50336983218e-32,1.40733835696e-08,2.61413099806e-05,-66.7852600087
