,FSV,M,g,l,max_delta,max_ll,max_mu_hat,max_s2_t_hat,model,n,s2_FSV,s2_logdelta,time,BIC,max_ll_null,LLR,pval,qval
0,2.05970036975e-09,4,Nrf1,0.402001243779,485165195.41,13.544082261,-0.990064868504,2.12914130371e-09,SE,260,0.786764813789,1.34280327229e+17,0.0025908946991,-4.84543799794,13.5431182524,0.000964008566683,0.97523087098,0.975230939966
1,0.368446194645,4,Zbtb5,0.402001243779,1.71289194375,5.24391098087,-0.10881002875,0.0248324628321,SE,260,16.4749206563,345.743346905,0.00127911567688,11.7549045623,5.16835116467,0.0755598161944,0.783407312644,0.975230939966
2,2.05970036975e-09,4,Bbs1,0.402001243779,485165195.41,-82.5217301239,-1.17339514984,3.06558877913e-09,SE,260,117.524712694,2.00584172061e+19,0.00127792358398,187.286186772,-82.5226941348,0.000964010873872,0.97523084135,0.975230939966
3,2.05970036975e-09,4,Rab34,0.402001243779,485165195.41,-85.7221193193,-1.52377162637,5.01910257975e-09,SE,260,0.710919789718,1.21335550757e+17,0.0012731552124,193.686965163,-85.7230833278,0.000964008436256,0.975230872655,0.975230939966
4,2.05970036975e-09,4,Srgap3,0.402001243779,485165195.41,-112.789357892,-5.18337716729,5.56652017233e-08,SE,260,15.6155394186,2.66516715826e+18,0.00126600265503,247.821442308,-112.790321903,0.000964010515219,0.975230845956,0.975230939966
5,0.999954570102,4,Polr3k,0.402001243779,4.53999297625e-05,-63.1099312806,-1.7051954944,2.5582625101,SE,260,158.009738942,55444464859.3,0.000937938690186,148.462589085,-63.4313306983,0.321399417724,0.570767857429,0.975230939966
6,0.999954570102,4,Ndufaf6,0.402001243779,4.53999297625e-05,30.9946645662,0.0772135525235,0.0514014843409,SE,260,13.6758024227,4798739317.75,0.00128293037415,-39.7466026084,30.3157688353,0.678895730983,0.409967234679,0.975230939966
7,2.05970036975e-09,4,Tnpo2,0.402001243779,485165195.41,-110.228406029,-3.66732458547,2.80027704987e-08,SE,260,1.07493066841,1.83462757069e+17,0.00126886367798,242.699538581,-110.229370037,0.000964008928833,0.975230866329,0.975230939966
8,2.05970036975e-09,4,Ints3,0.402001243779,485165195.41,-119.755336509,-2.9461267323,1.81933019346e-08,SE,260,8.09365349401,1.38137651889e+18,0.00128293037415,261.753399543,-119.75630052,0.000964010295121,0.975230848782,0.975230939966
9,2.05970036975e-09,4,Rbm6,0.402001243779,485165195.41,-89.2445091473,-1.79911066573,6.91130079749e-09,SE,260,0.523184147721,8.9293950779e+16,0.00127196311951,200.731744819,-89.2454731553,0.000964007997823,0.975230878286,0.975230939966
10,2.05970036975e-09,4,Mapre1,0.402001243779,485165195.41,-137.059550061,-3.4943702979,2.55143208373e-08,SE,260,0.532988680831,9.09673300295e+16,0.00127291679382,296.361826646,-137.060514069,0.000964008026159,0.975230877922,0.975230939966
11,0.999954570102,4,Pi4kb,0.402001243779,4.53999297625e-05,66.8151851553,0.19129776319,0.0661825582633,SE,260,1.56090209179,547709158.668,0.00128197669983,-111.387643787,65.4086329969,1.40655215837,0.235629598833,0.975230939966
12,2.05970036975e-09,4,Mink1,0.402001243779,485165195.41,-107.785585391,-5.00887616328,5.1988468873e-08,SE,260,0.783627691886,1.33744901968e+17,0.00126981735229,237.813897307,-107.7865494,0.000964008561056,0.975230871053,0.975230939966
13,2.05970036975e-09,4,Rnf10,0.402001243779,485165195.41,-99.5275733061,-3.53476161524,2.60126615166e-08,SE,260,10.5600114128,1.80231978248e+18,0.00127410888672,221.297873136,-99.5285373164,0.000964010394114,0.975230847511,0.975230939966
14,2.05970036975e-09,4,Mdfic,0.402001243779,485165195.41,69.6655830548,1.060786603,2.38996652908e-09,SE,260,30.2997631893,5.17138291484e+18,0.000916957855225,-117.088439586,69.6646190433,0.000964011483489,0.97523083352,0.975230939966
15,2.05970036975e-09,4,Fam193b,0.402001243779,485165195.41,-90.2826607934,-3.0407404183,1.92993199684e-08,SE,260,0.541271439008,9.2380981808e+16,0.00132083892822,202.808048111,-90.2836248014,0.000964008050573,0.975230877609,0.975230939966
16,0.819311331499,4,Cwc25,0.402001243779,0.220381757459,22.3884227453,-0.400888039257,0.15519843928,SE,260,23.8128173482,1060.07865541,0.00130891799927,-22.5341189666,21.9863890287,0.402033716617,0.526040825646,0.975230939966
17,2.05970036975e-09,4,Camkk1,0.402001243779,485165195.41,-124.914851544,-3.5458718123,2.6230769525e-08,SE,260,2.41953646626,4.12952057258e+17,0.00128602981567,272.072429612,-124.915815554,0.000964009646111,0.975230857117,0.975230939966
18,0.999954570102,4,Ptbp3,0.402001243779,4.53999297625e-05,-115.278183062,-1.58362053297,2.26682250879,SE,260,30.0819523177,10555537648.2,0.00129294395447,252.799092649,-116.020120491,0.741937428744,0.389040956595,0.975230939966
19,0.999954570102,4,Secisbp2l,0.402001243779,4.53999297625e-05,-150.387135521,-3.84218917312,12.6900820375,SE,260,2.26644071422,795277515.023,0.00126981735229,323.016997566,-151.604066858,1.21693133741,0.269963720033,0.975230939966
20,2.05970036975e-09,4,Pde4dip,0.402001243779,485165195.41,-122.877985286,-5.43680336577,6.12358455803e-08,SE,260,0.903152393207,1.54144665308e+17,0.00126600265503,267.998697097,-122.878949295,0.000964008734229,0.975230868829,0.975230939966
21,2.05970036975e-09,4,Huwe1,0.402001243779,485165195.41,-127.389084163,-5.68815669244,6.70104062524e-08,SE,260,28.67605559,4.89425818336e+18,0.000921010971069,277.020894851,-127.390048175,0.000964011496507,0.975230833353,0.975230939966
