FSV M g l max_delta max_ll max_mu_hat max_s2_t_hat model n s2_FSV s2_logdelta time BIC max_ll_null LLR pval qval
0.999954602131 4 Avpr2 1.1893590027 4.53999297625e-05 -12928.6177319 -14.8063577858 229.788205111 SE 4975 334.728577824 1.17619589997e+11 0.00352692604065 25891.2841865 -12928.6714114 0.0536794276886 0.816780187569 0.0
0.999954602131 4 Blank_4 1.1893590027 4.53999297625e-05 -11829.5105831 -9.32592204497 93.7676073386 SE 4975 832.41960374 2.92502221154e+11 0.00289416313171 23693.0698889 -11829.5406668 0.0300836627739 0.862300535203 0.0
0.999954601986 4 Ace2 3.00553459537 4.53999297625e-05 -13059.2679546 -12.5753196428 167.121231054 SE 4975 16.6876979584 5863818781.82 0.00296592712402 26152.5846317 -13060.0858106 0.817856040143 0.365807755889 0.0
0.999954601986 4 Blank_1 3.00553459537 4.53999297625e-05 -12293.4666703 -7.79082102351 68.0679642752 SE 4975 0.180975877955 63592339.3896 0.002934217453 24620.9820633 -12296.0512576 2.58458726839 0.107908532782 0.0
0.999954601986 4 Blank_2 3.00553459537 4.53999297625e-05 -11968.8876484 -10.1882848715 109.571127231 SE 4975 0.205943892008 72365743.0144 0.00292301177979 23971.8240195 -11970.9905257 2.10287723389 0.147022249829 0.0
0.999954601986 4 Blank_3 3.00553459537 4.53999297625e-05 -12286.3438352 -10.8299810267 123.852777623 SE 4975 0.457938058351 160912894.886 0.00291609764099 24606.736393 -12289.4162151 3.07237994029 0.0796328116489 0.0
0.514942505459 4 Blank_5 3.00553459537 0.941961365582 -13531.3615818 -19.0619028004 192.64056302 SE 4975 3.36979634159 63.2076838218 0.00292778015137 27096.7718863 -13531.7835675 0.421985624716 0.515947915408 0.0
0.469098848186 4 Cenpe 3.00553459537 1.13174325321 -13985.9453709 -23.3808968988 262.26073562 SE 4975 0.718135583533 13.5324811623 0.00291299819946 28005.9394644 -13986.31267 0.367299121703 0.544480171514 0.0
0.999954601986 4 Cyp26a1 3.00553459537 4.53999297625e-05 -12231.6890487 -10.7805905292 122.622257618 SE 4975 0.040209167437 14128927.2976 0.00289392471313 24497.4268199 -12235.5152255 3.82617679486 0.0504579036699 0.0
0.494257150262 4 Fbxw13 3.00553459537 1.02323503973 -12734.9035094 -15.7242744151 126.158507412 SE 4975 2.57868989484 48.3108908758 0.0028920173645 25503.8557414 -12735.1988578 0.295348394611 0.586813363107 0.0
0.536570725468 4 Galr2 3.00553459537 0.863684455185 -13506.8011445 -19.2707823459 204.865911755 SE 4975 0.653030233845 12.3354603014 0.00292992591858 27047.6510116 -13507.6192554 0.818110945151 0.365733060584 0.0
0.999954601986 4 Ndnf 3.00553459537 4.53999297625e-05 -13818.3263623 -12.8554828134 178.133656854 SE 4975 0.417496951598 146702467.425 0.0028989315033 27670.7014472 -13821.4025271 3.07616480176 0.0794476635543 0.0
0.999954601986 4 Selplg 3.00553459537 4.53999297625e-05 -14083.7977243 -12.1364109404 162.118567567 SE 4975 0.992597298828 348784517.682 0.00292801856995 28201.6441711 -14087.4883833 3.69065903578 0.0547179919518 0.0
0.999954601986 4 Slc15a3 3.00553459537 4.53999297625e-05 -12571.95325 -10.7814123607 123.813862215 SE 4975 2.39362823654 841086784.111 0.0029890537262 25177.9552226 -12572.9411049 0.98785489363 0.320267222972 0.0
0.52172395882 4 Ttn 3.00553459537 0.91671947559 -12429.0928792 -10.664587709 63.4029434176 SE 4975 7.49761142715 140.854172058 0.00293803215027 24892.234481 -12429.4616122 0.368733043999 0.543695678875 0.0
0.505688541113 4 Fn1 7.59504757051 0.977420685919 -14119.1979582 -3.25977126249 13.3690264691 SE 4975 5.89170034825e-05 0.00110378600089 0.00348591804504 28272.444639 -14175.118778 55.9208198098 7.54951656745e-14 0.0
0.370317107775 4 Pdgfra 7.59504757051 1.70024724123 -13628.4991053 -8.71139628933 29.9954056758 SE 4975 0.000103236772068 0.00215928732661 0.00403380393982 27291.0469333 -13660.0028191 31.5037137174 1.99059183581e-08 0.0
0.5934994388 4 Rgs5 7.59504757051 0.684864724449 -14644.0286573 -9.98399978857 61.9631078796 SE 4975 4.574516431e-05 0.000906374040311 0.00401020050049 29322.1060372 -14724.9906075 80.9619501346 0.0 0.0
0.225424585131 4 Slco1a4 7.59504757051 3.43578824745 -14500.8316408 -13.2126266819 40.7414170227 SE 4975 0.000462949833435 0.0155603723418 0.00401306152344 29035.7120042 -14521.0835863 20.2519454929 6.7884394962e-06 0.0
0.939510986122 4 Vgf 7.59504757051 0.0643781662677 -12295.9542842 -17.2581951482 223.789561728 SE 4975 8.15222130985e-05 0.0206025137391 0.011262178421 24625.957291 -12495.2429519 199.288667728 0.0 0.0
0.349510489667 4 Cartpt 19.1928409965 1.85974456627 -10167.3596759 -5.89565548137 6.944397698 SE 4975 2.08774857346e-06 4.54721172486e-05 0.00515198707581 20368.7680745 -10409.4336638 242.07398788 0.0 0.0
0.296573024792 4 Crh 19.1928409965 2.37006680429 -11197.6266429 7.47468705772 9.96460946893 SE 4975 3.42412345163e-06 8.57085289112e-05 0.00630211830139 22429.3020084 -11355.8126383 158.185995429 0.0 0.0
0.393633155622 4 Nts 19.1928409965 1.53927774373 -11290.3759382 12.3926100349 28.7149205126 SE 4975 2.30004325188e-06 4.63534790294e-05 0.00520920753479 22614.8005991 -11566.3857342 276.00979596 0.0 0.0
