,FSV,M,g,l,max_delta,max_ll,max_mu_hat,max_s2_t_hat,model,n,s2_FSV,s2_logdelta,time,BIC,max_ll_null,LLR,pval,qval
0,2.06015547069e-09,4,LANCL2,0.378582883924,485165195.41,-130.386732459,-1.64984234757,5.95290689462e-09,SE,250,0.554772586276,9.46434486286e+16,0.00130796432495,282.859308588,-130.38773513,0.00100267169859,0.974739213464,0.974739245756
1,2.06015547069e-09,4,TMEM109,0.378582883924,485165195.41,-265.715928685,-3.06955160303,2.04316706778e-08,SE,250,5.48154721861,9.35144499609e+17,0.00080680847168,553.517701042,-265.716931359,0.00100267374035,0.974739187753,0.974739245756
2,0.502180524328,4,TMEM189,0.378582883924,0.990835714063,-216.197143106,-2.73029113516,3.69755451473,SE,250,39.2856780766,735.873308483,0.000823020935059,454.480129883,-216.302452508,0.105309401769,0.745548848328,0.974739245756
3,0.999954580137,4,ITPK1,0.378582883924,4.53999297625e-05,-226.594291088,-3.86272478157,13.6890562422,SE,250,1.4377186367,504707913.039,0.00125503540039,475.274425848,-227.782299902,1.18800881323,0.275731570485,0.974739245756
4,0.999954580137,4,UBXN11,0.378582883924,4.53999297625e-05,-230.743819907,-2.28195094416,5.02370039464,SE,250,14.5100417022,5093717698.78,0.000879049301147,483.573483485,-231.220691281,0.476871374091,0.489842883683,0.974739245756
5,2.06015547069e-09,4,NUDT21,0.378582883924,485165195.41,-197.881608607,-3.28258144143,2.27973213422e-08,SE,250,4.59389322988,7.837119365e+17,0.00123906135559,417.849060886,-197.882611281,0.00100267365229,0.974739188862,0.974739245756
6,0.50442046217,4,SRF,0.378582883924,0.981997326526,-204.87617908,-2.38123711661,2.84988233676,SE,250,122.180100487,2288.80966164,0.000818967819214,431.838201831,-204.961590319,0.0854112397819,0.77009394506,0.974739245756
7,2.06015547069e-09,4,KIF2A,0.378582883924,485165195.41,-55.290015635,-1.57730339794,5.31573151339e-09,SE,250,2.5092680409,4.28077714723e+17,0.00146412849426,132.665874941,-55.2910183082,0.00100267328503,0.974739193487,0.974739245756
8,2.06015547069e-09,4,ICMT,0.378582883924,485165195.41,-216.827902901,-3.27047133607,2.27299331704e-08,SE,250,16.6442050264,2.8394787384e+18,0.00115203857422,455.741649473,-216.828905575,0.00100267414479,0.97473918266,0.974739245756
9,2.06015547069e-09,4,ZNF585A,0.378582883924,485165195.41,15.7969182879,-1.378424896,4.0226591633e-09,SE,250,5.06354413379,8.63833741898e+17,0.00163102149963,-9.50799290431,15.7959156142,0.00100267370186,0.974739188238,0.974739245756
10,0.999954580137,4,CAB39L,0.378582883924,4.53999297625e-05,-142.829743543,-2.30566647842,4.93315757699,SE,250,225.578521467,79188835624.6,0.00107908248901,307.745330758,-143.349008274,0.51926473082,0.4711554955,0.974739245756
11,0.999954580137,4,PLK2,0.378582883924,4.53999297625e-05,-276.924779377,-5.4751255942,27.3180449343,SE,250,22.9604951216,8060230478.57,0.00105094909668,575.935402426,-277.424800436,0.500021058558,0.479490869386,0.974739245756
12,2.06015547069e-09,4,ASCC3,0.378582883924,485165195.41,-216.5955208,-2.88363185997,1.78217775232e-08,SE,250,2.37596158034,4.05335813873e+17,0.00158500671387,455.276885271,-216.596523473,0.00100267324638,0.974739193974,0.974739245756
13,2.06015547069e-09,4,SUSD6,0.378582883924,485165195.41,-218.996130852,-2.79708029039,1.68215966707e-08,SE,250,164.584103731,2.80778242326e+19,0.000816106796265,460.078105376,-218.997133527,0.00100267451865,0.974739177953,0.974739245756
14,2.06015547069e-09,4,YAF2,0.378582883924,485165195.41,-188.193711517,-2.95664426823,1.85619410312e-08,SE,250,0.427794572636,7.29811722144e+16,0.00111699104309,398.473266705,-188.194714188,0.00100267128343,0.974739218692,0.974739245756
15,2.06015547069e-09,4,CCNY,0.378582883924,485165195.41,-259.78115532,-3.1576956191,2.15161396805e-08,SE,250,472.22819267,8.05614873546e+19,0.000831842422485,541.648154312,-259.782157995,0.0010026745889,0.974739177068,0.974739245756
16,0.499573202824,4,ARPC3,0.378582883924,1.00122355333,-284.94903254,-5.90732561883,16.7376512649,SE,250,51.2213636559,959.417065798,0.000810861587524,591.983908751,-285.023008713,0.0739761733693,0.78563308209,0.974739245756
17,2.06015547069e-09,4,BANF1,0.378582883924,485165195.41,-195.669486294,-1.64901780197,6.18219159232e-09,SE,250,1757.42434528,2.99814202893e+20,0.000829935073853,413.424816259,-195.670488969,0.00100267463841,0.974739176444,0.974739245756
18,0.999954580137,4,FAH,0.378582883924,4.53999297625e-05,-207.668188551,-1.9704071362,3.77752401594,SE,250,6.47750004814,2273911909.84,0.000814914703369,437.422220773,-208.318890653,0.650702102013,0.419861771585,0.974739245756
19,2.06015547069e-09,4,SLC39A10,0.378582883924,485165195.41,-217.387064473,-3.01980730696,1.94830822359e-08,SE,250,19.9829939668,3.40907159028e+18,0.000827789306641,456.859972617,-217.388067147,0.00100267419327,0.97473918205,0.974739245756
20,2.06015547069e-09,4,TRAPPC13,0.378582883924,485165195.41,-163.64733449,-2.2352110227,1.0744764977e-08,SE,250,4215.57068189,7.19170624399e+20,0.000816106796265,349.380512651,-163.648337164,0.00100267472618,0.974739175339,0.974739245756
21,2.06015547069e-09,4,CCDC115,0.378582883924,485165195.41,-130.488882439,-2.02650483757,8.80735304821e-09,SE,250,2.1299745824,3.6337076661e+17,0.00111889839172,283.063608549,-130.489885112,0.00100267316537,0.974739194994,0.974739245756
22,2.06015547069e-09,4,DPP3,0.378582883924,485165195.41,-223.61916829,-2.79797361903,1.68581155742e-08,SE,250,2.09081935557,3.56690938171e+17,0.00111603736877,469.324180252,-223.620170964,0.00100267315139,0.97473919517,0.974739245756
23,2.06015547069e-09,4,MTF2,0.378582883924,485165195.41,-113.578105365,-2.00239322925,8.56375406103e-09,SE,250,0.792650453155,1.35225089162e+17,0.00126004219055,249.242054401,-113.579108037,0.00100267218872,0.974739207292,0.974739245756
24,0.508146674502,4,ADD1,0.378582883924,0.967466997449,-266.857231628,-3.27930847124,5.40359182053,SE,250,62.4993410574,1171.15025578,0.000808954238892,555.800306927,-266.992771049,0.135539421555,0.712756328087,0.974739245756
25,2.06015547069e-09,4,TMEM63B,0.378582883924,485165195.41,-185.16710544,-2.6009350627,1.44742729994e-08,SE,250,18.4051989895,3.13990191325e+18,0.00082802772522,392.420054552,-185.168108114,0.00100267417344,0.9747391823,0.974739245756
26,2.06015547069e-09,4,MMS19,0.378582883924,485165195.41,-141.088860899,-1.72213366957,6.48595790375e-09,SE,250,0.317208462141,5.41153321809e+16,0.00255584716797,304.263565469,-141.08986357,0.00100267073555,0.974739225591,0.974739245756
27,2.06015547069e-09,4,CFDP1,0.378582883924,485165195.41,-188.78987353,-2.68213169379,1.53740506522e-08,SE,250,111.589416671,1.90370027024e+19,0.00167202949524,399.665590732,-188.790876205,0.00100267448079,0.974739178429,0.974739245756
28,0.999954580137,4,HMOX2,0.378582883924,4.53999297625e-05,-154.325912055,-1.71663195217,2.8342716598,SE,250,133.624686916,46908647590.9,0.00152492523193,330.737667782,-154.671826881,0.345914825439,0.556434808284,0.974739245756
29,2.06015547069e-09,4,FAM104B,0.378582883924,485165195.41,-146.368802896,-2.19057467985,1.02798881076e-08,SE,250,2.47820297328,4.22778056443e+17,0.00240015983582,314.823449463,-146.369805569,0.0010026732765,0.974739193594,0.974739245756
30,2.06015547069e-09,4,C16orf72,0.378582883924,485165195.41,-270.642181352,-4.23043314343,3.79393932713e-08,SE,250,2.24919637096,3.83709841576e+17,0.0019679069519,563.370206376,-270.643184026,0.00100267320613,0.97473919448,0.974739245756
31,2.06015547069e-09,4,CD276,0.378582883924,485165195.41,-281.653048358,-3.2788176199,2.33074104558e-08,SE,250,1.00227619189,1.70986955061e+17,0.00190687179565,585.391940388,-281.654051031,0.00100267246592,0.974739203802,0.974739245756
32,2.06015547069e-09,4,GOLPH3,0.378582883924,485165195.41,-259.834755199,-4.37852976245,4.04801584851e-08,SE,250,1.0876585731,1.8555307316e+17,0.00179696083069,541.75535407,-259.835757872,0.00100267255493,0.974739202681,0.974739245756
33,0.999954580137,4,CCSER2,0.378582883924,4.53999297625e-05,-142.199579992,-2.37171868194,5.20823681519,SE,250,1.23760388601,434458077.213,0.00208497047424,306.485003654,-143.460587317,1.26100732505,0.261460503808,0.974739245756
34,2.06015547069e-09,4,ANKRD46,0.378582883924,485165195.41,-179.390589311,-2.44746606792,1.28533731888e-08,SE,250,20.9567846557,3.57519895729e+18,0.00122690200806,380.867022293,-179.391591985,0.00100267420504,0.974739181902,0.974739245756
35,0.506404016332,4,ARL6IP5,0.378582883924,0.974235858705,-287.950564072,-6.26304688472,19.0279863552,SE,250,77.71885282,1456.1102446,0.00116300582886,597.986971815,-288.065986301,0.115422228971,0.734053487132,0.974739245756
36,0.506608559022,4,H2AFY,0.378582883924,0.973438958511,-307.355869313,-5.43177697733,14.4411781711,SE,250,30.6152627591,573.605281126,0.00118684768677,636.797582297,-307.507784741,0.151915428674,0.696711585374,0.974739245756
