,BIC,FSV,LLR,M,g,l,max_delta,max_ll,max_mu_hat,max_s2_t_hat,model,n,s2_FSV,s2_logdelta,time,PER_prob,SE_prob,linear_prob,pval,qval,max_ll_null
13,750.621207644,0.128624148074,,4,HLA-DRA,25.8061601339,8.54836272504,-364.267681986,-6.40809706743,4.5535072641,PER,250,0.00290426066703,0.210638191772,0.00127792358398,0.90287086581,0.096909942483,0.000219191706817,0.000223398695159,0.0293085410578,-379.006855302
14,639.281680805,0.279283624911,,4,CTHRC1,25.8061601339,3.25625831588,-308.597918567,-6.05353942335,10.5007111279,PER,250,0.00544163694764,0.14441992646,0.00109004974365,0.565762786571,0.434237213429,9.82183773213e-15,1.16997573851e-08,7.52118903503e-06,-341.266333146
15,389.440151159,0.195580835904,,4,ITIH2,25.8061601339,5.18986478904,-183.677153744,-2.90035243543,1.53482126137,PER,250,0.00747749108887,0.299876379361,0.00112509727478,0.931248813396,0.0685169222031,0.00023426440049,9.52456264809e-05,0.0156996540983,-200.210562022
16,458.315137052,0.136667640314,,4,LRRC15,25.8061601339,7.9709898555,-218.11464669,-2.51051708251,0.7692010485,PER,250,0.00307932142634,0.203836170658,0.0012571811676,0.72116725166,0.278832050407,6.97933279099e-07,0.000269812880644,0.0324204131443,-231.85890401
17,590.717718012,0.277722078392,,4,PRRX1,25.8061601339,3.28166213314,-284.31593717,-3.36779224712,3.32616342916,PER,250,0.00438355895909,0.116998134283,0.0010929107666,0.970981579633,0.0290184203673,5.16752737087e-15,4.60712912265e-10,4.5564507023e-07,-324.908121382
18,385.032887373,0.284306652314,,4,MMP13,25.8061601339,3.1764344079,-181.473521851,-2.1581288278,1.41559520647,PER,250,0.0103446473292,0.269712063724,0.00110793113708,0.94223282651,0.0577671734888,1.49938739991e-12,1.10331662045e-05,0.00284929465974,-202.193081204
19,395.300225007,0.334999877525,,4,RPL13,43.744019797,1.38546184317,-186.607190668,-3.50689330173,2.01882312618,PER,250,0.0110426791495,0.248507295637,0.00109696388245,0.815490558349,0.184509440328,1.32321886616e-09,5.78660689314e-05,0.0108087000349,-203.52147415
20,622.831576323,0.298453576906,,4,RPL8,43.744019797,1.64057888956,-300.372866326,-5.29706316701,3.95638868114,PER,250,0.0161341732843,0.401459585901,0.000951766967773,0.893301408668,0.10669830395,2.87381767443e-07,0.000332270577693,0.0388363892491,-314.314433675
21,575.163158261,0.209239548452,,4,COL10A1,43.744019797,2.63765906271,-276.538657295,-2.99706755084,0.933202002719,PER,250,0.00993336633179,0.36563552209,0.00111317634583,0.954788228491,0.0450786517831,0.000133119726302,0.000164907607614,0.023557967901,-292.259059189
22,373.819397586,0.773534269595,16.9804190447,4,ITGAX,0.641735813591,0.291118186912,-175.866776957,-2.55186227041,2.67763459471,SE,250,0.00654107136975,0.218651895037,0.00214195251465,2.25093302785e-12,0.999999999997,4.4648433168e-13,3.77673163519e-05,0.00796023584157,-192.847196002
