BIC FSV LLR M g l max_delta max_ll max_mu_hat max_s2_t_hat model n s2_FSV s2_logdelta time PER_prob SE_prob linear_prob pval qval max_ll_null
25882.8792704 4.13476320044e-11  3 Avpr2  485165195.41 -12928.6713642 -14.8064762376 4.73687956743e-07 linear 4975 2.07208133086e-10 87756857949.6 0.00356197357178 0.042174991031 0.000214279351275 0.957610729617 0.816780187569 0.0 -12928.6714114
23684.6177813 4.13476320044e-11  3 Blank_4  485165195.41 -11829.5406197 -9.32598570985 1.93292700883e-07 linear 4975 2.06707933661e-10 87545013321.6 0.00308012962341 0.000322734417667 0.000213335645838 0.999463929937 0.862300535203 0.0 -11829.5406668
26145.7080687 4.13476320044e-11  3 Ace2  485165195.41 -13060.0857634 -12.5837889189 3.49389452378e-07 linear 4975 2.17374426632e-10 92062489998.5 0.00303411483765 0.000340898151278 0.00103026922764 0.99862883262 0.365807755889 0.0 -13060.0858106
24617.6389625 4.13476320044e-11  3 Blank_1  485165195.41 -12296.0512103 -7.79593722067 1.42189715427e-07 linear 4975 2.32691226821e-10 98549466346.5 0.00303101539612 0.000635917727332 0.0341001178071 0.965263964464 0.107908532782 0.0 -12296.0512576
23967.5174988 4.13476320044e-11  3 Blank_2  485165195.41 -11970.9904784 -10.1943118084 2.29049759778e-07 linear 4975 2.22233114098e-10 94120242942.1 0.00301599502563 0.00126905035368 0.0132841873704 0.985446762275 0.147022249829 0.0 -11970.9905257
24604.3688778 4.13476320044e-11  3 Blank_3  485165195.41 -12289.4161679 -10.8351658187 2.58855076327e-07 linear 4975 2.16819779906e-10 91827585831.3 0.00305509567261 0.00245162972503 0.0854735380152 0.912074832259 0.0796328116489 0.0 -12289.4162151
27089.1035823 4.13476320044e-11  3 Blank_5  485165195.41 -13531.7835202 -19.0674124801 7.77168706413e-07 linear 4975 2.22482349241e-10 94225799093.2 0.00302910804749 0.000515916322181 0.000466950515882 0.999017133162 0.515947915408 0.0 -13531.7835675
27998.1617872 4.13476320044e-11  3 Cenpe  485165195.41 -13986.3126226 -23.3855855564 1.16059081511e-06 linear 4975 2.43054272494e-10 1.02938426922e+11 0.00303411483765 0.0560831165923 0.000395320692218 0.943521562716 0.544480171514 0.0 -13986.31267
24496.5668985 4.13476320044e-11  3 Cyp26a1  485165195.41 -12235.5151783 -10.7871569305 2.5635374495e-07 linear 4975 2.08896780082e-10 88472034291.2 0.00304818153381 0.000713753061727 0.29714353221 0.702142714728 0.0504579036699 0.0 -12235.5152255
25495.9341629 4.13476320044e-11  3 Fbxw13  485165195.41 -12735.1988105 -15.7274423888 5.30015879816e-07 linear 4975 2.3841138922e-10 1.00972071442e+11 0.00302195549011 0.0192172336752 0.000355727478606 0.980427038846 0.586813363107 0.0 -12735.1988578
27668.3415017 4.13476320044e-11  3 Ndnf  485165195.41 -13821.4024799 -12.8647819823 3.72365266572e-07 linear 4975 2.18407937308e-10 92500202786.3 0.00300812721252 0.00215811948494 0.0860922909855 0.911749589529 0.0794476635543 0.0 -13821.4025271
28200.5132142 4.13476320044e-11  3 Selplg  485165195.41 -14087.4883361 -12.1444693301 3.38761987315e-07 linear 4975 2.10013378008e-10 88944936218.8 0.00302195549011 0.0412022575762 0.233931833793 0.72486590863 0.0547179919518 0.0 -14087.4883833
25171.4186574 4.13476320044e-11  3 Slc15a3  485165195.41 -12572.9410577 -10.7874340191 2.5876516287e-07 linear 4975 2.10378428929e-10 89099542707.1 0.00305199623108 0.00325041304678 0.00144265613589 0.995306930819 0.320267222972 0.0 -12572.9411049
24884.4596718 4.13476320044e-11  3 Ttn  485165195.41 -12429.4615649 -10.6672179583 2.52389053093e-07 linear 4975 2.29434806753e-10 97170306228.3 0.0030529499054 0.000302268164197 0.000419884206405 0.999277847628 0.543695678875 0.0 -12429.4616122
26873.1997335 4.13476320044e-11  3 Avpr1a  485165195.41 -13423.8315958 -17.746722473 6.75774929167e-07 linear 4975 2.09032473157e-10 88529503067.6 0.00303196907043 0.00603734434775 0.0022541663956 0.991708489256 0.270775728221 0.0 -13423.8316429
25991.4424003 4.13476320044e-11  3 Cplx3  485165195.41 -12982.9529292 -18.3264026648 7.14550553307e-07 linear 4975 2.63838691651e-10 1.11741051087e+11 0.00303196907043 0.0136314928125 0.028176362203 0.958192144985 0.114364069992 0.0 -12982.9529767
